draft_types
['Серебрянка']
['Генеральские Дачи']
['снт Альянс']
['снт Юбилейный']
['снт Октябрьское-2']
['днт Авиатор']
['снт Солнечный-1']
['снт Жарки']
['снт Жаворонки']
['снт Молодость']
['снт Сосновый']
['Жемчужина']
['Эльдорадо днт']
['днт Лесотехник']
['спк Соболь']
['снт Лесовик']
['снт Ромашка-2']
['снт Деметра-2']
['А.Акрамов асосий куча']
['снт Синильга']
['снт Ясное']
['снт Нефтеразведчик']
['снт Пульс']
['Татарский поворот']
['снт Золотой якорь-1']
['снт Аралия']
['снт Золотой якорь-2']
['снт Приморец']
['снт Маяк-2']
['снт Раздолье-1']
['снт Золотой якорь']
[' сонт Залив Сускан']
['ст Приморский']
['снт Мелиоратор']
['ДК Сосновый Бор']
['снт Недра']
['снт Спецстроевец']
['снт Атлант']
['снт Пруды']
['снт Скиф']
['сднт Белозерский']
['снт Межгорье']
['снт Лопатино']
['снт Вишняки']
['снт Санчелеево-13']
['снт Водолей']
['снт АПК Лада']
['снт Жаворонок']
['снт Озёрный']
['Золотая осень-1 с/о']
['снт Красноярец-4']
['сдт АВИС']
['АВИС сдт']
['сдт Газовик']
['снт Солнышко']
['сдт Богдановка']
['днт Бумажник']
['сдт Сосновый Бор']
['сдт Завода им. Фрунзе']
['сдт Ресторан-полигон']
['Завода им. Фрунзе сдт']
['сдт Локомотивного депо']
['Метростроевец сдт']
['сдт Метростроевец']
['Астер снт']
['снт Дражное']
['Лотос СОТ']
['снт Ручейки']
['снт Недра-2']
['снт Бутырки']
['ок Урожай']
['снт Содружество']
['снт Радист-1']
['днт Петровская Слобода']
['днт Петровская слобода']
['днт Байкальская жемчужина']
['днт Жемчужина']
['снт Ангарский берег']
['снт Сибсервис-сад']
['снт Клён']
['снт Мастерок']
['ст Восход-3']
['снт Лесная Поляна-2']
['снт Модуль']
['снт Новая Лебединка']
['снт Лебединка']
['снт Королок']
['снт Октябрьское']
['снт Авиатор-2']
['снт Сиберия']
['Сиверко СТ']
['Ильма СНТ']
['снт Оптимист']
['пос. Мошаик']
['Тополя с/о']
['ст Ангарские Хутора']
['снт Новое']
['снт Восовец']
['снт Обувщик-2']
['снт Ручеек-2']
['снт Сельстрой']
['снт Ручеек-1']
['снт Ромашка-1']
['снт Связист-2']
['снт Океан']
['снт Бирюсинка']
['снт Троллейбусник-1']
['снт Приз']
['снт Правовед']
['Озерковое снт']
['снт Энергия']
['снт Метролог']
['снт Обувщик']
['снт Топограф']
['снт Озон']
['снт Энергоуголь']
['снт Швейник']
['снт Циклон']
['снт Изумруд']
['снт Ель']
['снт Печатник']
['Райисполком садоводство']
['Левашово садоводство']
['снт Гермес']
['снт Экономист-2']
['Южный склон днт']
['Тор снт']
['снт Колхида']
['Химик днт']
['Здоровье днт']
['СОТ Саарба']
['снт Станкостроитель 3']
['снт Пригородный']
['снт Октябрьский Сибиряк']
['снт Садовод-любитель 1']
['Корабельщик с/о']
['снт Весёлое']
['ст КЭМЗ-2']
['снт Огонёк']
['днт Плутон']
['Лаванда с/о']
['Солнечное с/о']
['Тополя-3 с/о']
['Захожье снт']
['дачи']
['Квазар снт']
['снт Сундукуль']
"['СОНТ ""Химик""']"
['СТ Цветущий сад']
['квартал застройки Полярник']
['снт Золотой уголок']
['снт  Клуб им. Чкалова']
['снт Клуб им. Чкалова']
['Ёлочка с/о']
['ст Геолог']
['ст Железобетон']
['квартал застройки Красный штурм']
['снт Вишневый сад-2']
['снт Рыбак']
['Поморочка СТ']
['Лисьи Борки СНТ']
['ПК Ветеран 2']
['снт Мирное']
['Рассвет с/о']
['Северное Сияние СНТ']
['СОТ Степь']
['Монтажник СНТ']
['Никольское СНТ']
['Место под солнцем']
['снт Инкар-233']
['снт Степное']
['снт Сокол']
['с/о Хакаснеруд']
['с/о Целинник']
['Мечта СНТ']
['снт Гидропресс-Госматрезервы-Станция Оренбург']
['снт Незабудка']
['снт Апика']
['снт Тихая Пристань']
['снт Виктория-1']
['снт Хея']
['снт Ритм']
['Рябинушка сдт']
['снт Радуга-2']
['снт Жарки-2']
['снт Дорожный строитель']
['снт Илга']
['снт Илга-2']
['снт Игла-2']
['со Объединённый сад №1']
['днт Энергетик']
['Барсовское ДНТ']
['Северная Озерейка']
['ТСН Айхал']
['СОТ Рябинушка']
['снт Искусство']
['снт Кинематографист']
['Ц-4']
['ДНТ Птицевод Севера']
['снт Подснежник']
['снт Ветеран войны']
['снт Птицевод']
['снт Чозения']
['снт Геофизик']
['Ц-5']
['ц-27']
['ДСК Чагда']
['днт Журавленок']
['Сурмятино днт']
['ст Озеленитель']
['ст Прогресс-1']
['ст Сочинский садовод']
['ст Прогресс-2']
['ст Луч-2']
['ст Дрозды']
['ст Здоровье-6']
['ст Самшит']
['снт Тополёк-2']
['Садовод-1']
"['СНТ ""Энергоцентр""']"
"['СНТ ""Энергоцентр']"
['Садовод - 1']
['Садовод -1']
"['снт ""Энергоцентр""']"
['снт Строитель-1']
['снт Хвойное']
['снт Новоясачное']
['снт Калиновка-5/3']
['снт Калиновка-5/1']
['снт Электротехник']
['снт Горки']
['снт Васюки']
['снт Подсочка']
['снт Русские Берёзы']
['снт Русские Берёзы-1']
['снт Единение']
['снт Саянские зори']
['снт Городское']
['Возрождение снт']
['ст Поликлиника-1']
['кооператив Родник']
['кооператив Рассвет']
['снт Дачный-3']
['ст Прохладная долина']
['с/о Эксперементатор']
['снт Первомайский']
['снт Уралочка']
['снт Газовик']
['снт Мичуринец-50']
['снт Урожайный']
['Бюльбюля']
['ст Разлив-1']
['снт Березняки']
['Восход тсн']
['снт Овощник-3']
['Марха микрорайон']
"['снт ""Содружество""-Дудкино']"
['Мелиоратор с/т']
['снт Ясная поляна']
['снт Горизонт-1']
['снт Удача']
['снт Виноградное']
['снт Оригинал']
['снт Гейя']
['снт Аэлита']
['снт Заря Востока']
['снт Удачи']
['снт Сатурн']
['снт Солидарность']
['Затейливое днп']
['снт Металлург-2']
['днт Раздолье']
['снт Калина Красная']
['снт Красная Калина']
['квартал Над питомником']
['днп Вымпел']
"['с/о ""Огородник-81""']"
['снт Импульс']
['снт Фонтан']
['Меридиан снт']
['СНТ Меридиан']
['СПК Авиатор']
['Малиновка №8 ст']
['снт Стрела-2']
['снт Земляне']
['снт Горизонт']
['Ясная поляна-2 снт ']
['Ясная поляна-2 снт']
['снт Фантазия']
['снт Тонус']
['снт Сакмарская ТЭЦ']
['снт Фармация']
['снт Трасса']
['снт Вираж']
['снт Сапожок']
['снт Искра']
['снт Пчёлка']
['снт Красная горка']
['Красная горка']
['аднп Старниково']
['Дружба КЗКТ снт']
['Богдановское днт']
['Тоонто днт']
['снт Электродчик']
['ст Медик-1']
['днт Свой дом']
['местность Сойважпорог']
['днт Великие озёра']
['Кооператор СТ']
['Современник СНТ']
['Звезда СТ']
['Воскресенье-1 с/о']
['дск Сельскохозяйственный']
['снт Сельскохозяйственный']
['ст Ветерок']
['Берёзка днт']
['Гляденовский квартал']
['снт Сокол-2']
['рынок Южный']
['снт Мамайка']
[' Дооб']
['Дооб']
['Светлогорье ндпк']
['днт Олимпийский']
['ст Кирилловка']
['снт Энергосетьпроект']
['Атланаул']
['снт Светлячок']
['ст Мир-2']
['снт Дачная-2']
['Кичановский квартал']
['снт Спутник-3']
['снт Космос']
['снт Утёс']
['снт Северянка']
['снт Пусковые двигатели']
['ОЭЗ']
['снт Ремонтник']
"['днт ""Два ручья""']"
['дубликат']
['ст Металлург-1']
['ст Металлург-2']
['хутор Северный']
['ДНТ Барсовское']
['снт Силикатчик']
['сдт Берёза-1']
['Берёза-2 сдт']
['сдт Берёза-2']
['Росинка снт']
['ст Восход -1']
['Буйнакск']
['г. Буйнакск']
['Нижнее Казанище']
['Нижнее Казанише']
['снт Наша марка']
['снт Ангарские зори']
['снт Подгорный']
['Львовские Лужки снт']
['снт Инской узел']
['снт Майское']
['Нефтяник сдт']
['снт Казацкий Лог']
['снт Фиалка']
['снт Разлив']
['снт Биофабрика']
['Приозёрный снт']
['снт Кукушкин Хутор']
['Маришкин Сад']
['снт Маришкин Сад']
['снт Марушкино-92']
"['тсн ""Два ручья""']"
['Восход Росторгмонтаж снт']
['Энергетик сот']
['Париж с/о']
['Строитель сот']
['Энергетик с/о']
['Энергетик-1 снт']
['Индустриальный сот']
['сот Индустриальный']
['сот Индустриальный ']
['Рябинка с/о']
['Озерное снт']
['СОНТ Чолбон']
['СНТ им. Мичурина']
['Дорожник сот']
['Маяк днт']
['днт Манский бор']
['СТ Ионосфера']
['Строитель с/о']
['Речные просторы ДНП']
['ПДК Крылья Сургута']
['снт Цементник']
['снт Маяк-1']
['СНТ Дубок']
['снт Обской залив']
['Монтажник-1 сдт']
['Мыльники снт']
['снт  Весна']
['Энергетик-2 с/о']
['Ручеёк тсн']
['жск Свой дом']
['Сад 7 снт']
['Сад 5 снт']
['Сад 12 снт']
['снт Сад № 11']
['Сад 11 снт']
['снт Сад 11']
['снт Сад  № 11']
['Сад 4 снт']
['с/о Солнышко']
['Сад 17 снт']
['снт Комарово']
['Сад 1 снт']
['Сад 9 снт']
['Сад 8 снт']
['Солнышко днт']
['Золотая осень днт']
['снт Айболит-86']
['Сад 10 снт']
['Сад 10  снт']
['Сад 6 снт']
['14 снт']
['Трудовая пчела снт']
['Зауралец снт']
['Царёво с/о']
['Тихорецкого машиностроительного завода им. Воровского №2 ст']
['ст Перевал']
['ст Озёрное']
['квартал Питомник-2']
['квартал Качаниха']
['квартал Химсклад']
['ст Нева']
['квартал Известковая']
['Лемасово']
['Эврика снт']
['ЖК Медовый']
['снт 4-й лес']
['снт Пион']
['снт Зелёная поляна']
['стд Весна']
['снт Рябина']
['снт Аист']
['снт Белок']
['снп Мечта']
['снт Ласточка']
['снт Трубино']
['СОТ Урожай-1']
['Хлебозавода сдт']
['Кушкуль']
['Виктория-1 с/о']
['пск Супонево-1']
['снт Любитель 3']
['снт Полет 1']
['снт Сигнал 2']
['СТ Жер Ана']
['снт Сигнал 4']
['снт Петушок']
['Холодные ключи снт']
['Серебрянка снт']
['Пищевик дк']
['снт Облепиха']
['ПКСТ Нариман']
['СТ Батыр']
['снт Вишневый']
"['днт ""Озерное""']"
['днт Отдых']
['Родничковое снт']
[' СОТ Автодорожник']
['с/о Радуга']
['сдт КЖИ-81']
['снт Берёзка 2']
['снт им. Т.С. Мальцева']
['снт Волга']
['ст Текстильщик']
['Ярууна днт']
['снт Станкостроитель 2']
['снт Слава']
['снт Жилищник']
['снт Жилищик']
['снт Дачный-2']
['снт Дачный-1']
['Строитель снт ']
['снт Любитель']
['снт Самоцвет']
['снт Тракторосад 2']
['снт Шахта Центральная']
['aaa']
[' aaa']
['Три сосны СНТ']
['Пеньки СНТ']
['снт Сигнал 3']
['снт Трубопрокатчик-3']
['Береке']
['снт Поляны']
['Автоприбор с/о']
['ст Крона']
['снт Филатов Луг']
['ПКСТ Место под солнцем']
['СНТ Ассоль']
['снт Заречный']
['с/о Кедровый']
['с/о СМП-159']
['Здоровье-2']
['снт Солнечное -12']
"['днп ""Зелёные холмы""']"
['снт Малиновка']
['Целинное с/о']
['Вайя днп']
['Досуг снт']
['Онегин тсн кп']
['Онегина тсн кп']
['снт Иня']
['снт Журналист-2']
['Мужество днт']
['Раздолье с/о']
['Сортировочная ст']
['снт АМЗ-2']
['снт Подсобное']
['снт Юг']
['снт Цветущий мыс']
['снт Агат']
['Мясокомбинат-3 снт']
['ст Краснодарсельмаш-1']
['снт Мечел']
['жск Медик']
['Ливадия пос']
['Фаворит снт']
['Сосновый бор']
['снт Парус']
['Шинник 2 ст']
['Север дпк']
['Ягодка пдк']
['СОНТ Лена']
['ст Рубин']
['Заря ст']
['снт Жемчуг']
['снт Экономист']
['СОТ Рассвет-2']
['снт Учитель']
['снт Тракторосад 1']
['снт Курочкино-1']
['Ландыши']
['снт Шахтёр']
['днт Полесье']
['СТ Картограф 1']
['ст Лесник-1']
['Кряжское дт']
['дт Кряжское']
['Березка-4 с/о']
['Целлиное с/о']
['массив №4']
['Берёзка-4 с/о']
['Уйма СНТ']
['дп Чистый']
['Надежда-2 с/о']
['снт Исток-2']
['квартал Копыловский']
['Надежда днт']
['с/т 26']
['Шахтёр кс №9']
['с/т 6']
['с/т 12']
['днт Сэлэнгэ']
['СНТ Сайдыы и Ко']
['Факел с/о']
['Ясень с/о']
['снт Взлёт']
['Кирпичник снт']
['Заречье с/т']
['Рассвет-1 с/о']
['Южный с/т']
['кс 26']
['снт Тальник']
['Теремки днт']
['снт Уральские зори']
['Космос ст']
['Агроном ст']
['Ривьера с/о']
['СК Миассовое']
['СОТ Металлург']
['Удачное днт']
['дп Зеленая Аллея']
['Корабел тсн']
['д/о Хуторок']
['снт Приозёрное-2']
['с/т Натуралист']
['Рябина снт']
['ст Здоровье-5']
['Два Капитана днт']
['Осень-1 с/о']
['снт Мичуринец-2']
['снт Гамма']
['Локомотивщик снт']
['СТ Автоприцепы']
['Севертеплоэнергомонтаж ст']
['Югтеплоэнергомонтаж ст']
['снт Березка']
['Журавли с/о']
['Труд и Отдых с/о']
['Искра-1 с/о']
['снт Ворсино-2']
['снт Вита']
['снт Сибзаводовец -3']
['Импульс с/т']
['снт Искра-Старосьяново']
['снт Искра-Старосьянво']
['снт Ветеран-Высотный']
['снт Ветеран-Высонтный']
['Волга снт']
['снт Заринка']
"['днт ""Роза ветров""']"
['Планета-1 ст']
['Горки СНТ']
['массив №3']
['северный микрорайон']
['снт Сад №1 ТОЗ']
"['днт ""Ясная поляна""']"
['снт Тополёк']
['снт Лебедь']
['СК Таир']
['снт Букет']
['ст Дружбы 1']
['Санаръ днт']
['дп Заозёрный']
['снт Елисейские поля']
['Дружный ст']
['Реченька ск']
['с/о Ветераны']
['с/о Автомобилист']
['сот Здоровье']
['снт Старо-смолинский каменный карьер']
['с. Малая Рогань']
['снт Птицевод-1']
['ст Керамик-2']
['сонт Строитель']
['снт Гудок']
['Entrance']
['Exit']
['Not Edge of the World']
['The First']
['снп Верхняя Полазна']
['1']
['Алтан-Туяа днт']
['снт Садовод ВАСО']
['снт Сокольники']
['Лотос днт']
['Нагорный снт']
['снт Солонцовский нанжуль']
['Любитель сдт']
"['снт №3 ""Красноярец""']"
['М14']
['Веснянка ст']
['СТ Тюльпан']
['Омский район']
['Песчаный СНТ']
['СТ Труд 2']
['Лесники снт']
['КГСХА №7 днт']
['нсот Топограф']
['Заценьский Родник ст']
['Авиатор ст']
['Армеец-1 ст']
['Верас Зеленый ст']
['Текстильщик ст']
"['днт ""Лазурные берега""']"
['снт им. Симеренко']
['Трактор ст']
['Асеевка ст']
['Дражня ст']
['Водопад ст']
['Пролеска ст']
['Исток ст']
['Полёт-2002 ст']
['Нейтрон ст']
['Берёзовая Гора ст']
['Белая Берёзка ст']
['Зорное ст']
['Садовод-МКБ ст']
['Кировец ст']
['Малинка ст']
['снт Металлист 1']
['Атлант-2 ст']
['Нептун ст']
['Белые Росы ст']
['квартал Придорожный']
['Хрустальный с/о']
['снт ЧМЗ 2']
['снт ЧМЗ 1']
['снт ЧМЗ 3']
['3-й квартал']
['снт Тихиё плёс']
['снт Апрелевка']
['ДПК Жемчужина']
['снт Трамвайщик']
['снт Трактор']
['снт Экран']
['стн Экран']
['снт Булатова поляна ЦНИГРИ']
['снт Шинник-1']
['Сайрам МФЙ']
['с. Хащевое']
"['ДНТ ""Изумрудный луг""']"
['снт Металлург-6']
['тсн Станкостроитель']
['№1 Кургансельмаш снт']
['тсн Ивановское']
['снт Спутник-1']
['снт Софит-Поле']
['снт Горный']
['с/о Зорька']
"['снт ""Дудкино""']"
['Юбилейный дк']
['Березка с/о']
[' Атланаул']
['с/т Импульс']
['Топограф-1 ст']
['ТСН Ветеран']
['снт Зелёный мыс']
['снт-Авиатор-3']
['с/о Энергетик ЮЭС']
['Ясная поляна с/о ']
['Самородок снт']
['63-й квартал']
['снт Садовод-3']
['Промстроевец с/о']
['днт Орфей']
['снт Сенеж-7']
['снт Ветеран-Тимоново 2 поле']
['40-й квартал']
['36-й квартал']
['Комитет днт']
['СТ Швейник']
['СОНТ Жаворонок']
['снт Ветеран-Тимоново 1 поле']
['днт Надежда Китоя']
['снт Прибрежный']
"['днт ""Бархатный берег""']"
['п. Новый Хушет']
"['снт ""Заря-50""']"
"['снт ""Искра""']"
['снт Заречье']
['Солонцовский нанжуль снт ']
['снт Вороново']
['Al Salam']
['Abu Bakr Al Siddiq']
['Awali Nazil']
['King Faisal']
['Al-Ayoon.']
['коллективный сад «Весна»']
"['ст ""Коммунарка-2""']"
['снт Орион']
['днт Янтарь']
['Геолог с/т']
['квартал Тихий']
['снт им. 70-летия ВЛКСМ']
['садовое товарищество Мир']
['снт Ремонтник-87']
['Родничок ст']
['Лесной квартал']
['днп Фэмили']
['снт Сухая балка-1']
['снт Сухая Балка-1']
['днт Лазурные берега']
['Локомотив с/т']
['с/т Урожай']
['Кайрат с/т']
['Айгуль с/т']
['Трудовик с/т']
['Целинник с/т']
['снт Карьер']
['снт  Заря-2']
['Жилищник с/т']
['снт Заря-2']
['Рубин с/т']
['Урожай с/т']
['СНТ Нанжуль-3']
['Автомобилист ПАТП-2 снт']
['снт Загорье']
['снт Аэропорт-2']
['с/т Свежесть']
['Локотив снт']
['Локомитив снт']
['СТ Алтын алма']
"['днт ""Виктория""']"
['днт Рублёвский-2']
"['микрорайон ""Финист""']"
"['микрорайон ""Святогор""']"
['Приволье сдт']
['снт У озера']
['снт Щербинка']
['снт Телесад']
['снт Юбилейный 1']
['Дружбы снт']
['Бытовик СНТ']
['Зелёный дол днп']
['Дачный снт']
['снт Чулпан']
"['днт ""Рубин']"
"['днт ""Рубин""']"
"['днт Рубин""']"
['ст Пойма']
['снт Индустриец']
['ст Бурундук']
['снт Бережки']
['от Дружба']
['ДНТ Тихое']
['снт Ант']
['ПСК Искра']
['д/о Колягинские холмы']
['Виктория тсн']
['Поляна с/о']
['Бережок-1 с/т']
['Бережок-2 с/т']
['Родники с/т']
['Угольщик снт']
['днт Университетское']
['снт Клязьма-2']
['Звездочка СНТ']
['Царево с/о']
['с/т Мечта']
['Одуванчик с/т']
['Облздрав с/т']
['Сельхозуправление с/т']
['снт Рассудово']
['снт Рассудовец']
['ст Заря Востока']
['ст Заря Восток']
"['СНТ ""Подснежник-Шумково""']"
['Малые Никитки коттеджный пос.']
['снт Дачник']
['ст Мирное']
['д. Шихово']
['ст Дружба-3']
['КС УВЗ №2']
['Заря Востока тсн']
['ст Овощник-2']
['снт Овощник-2']
['снт Старая Тарья']
['ст Железнодороник']
['ст Железнодарожник']
"['СНТ ""Нанжуль-3""']"
['300 лет Российскому флоту ст']
['Дорожник снт']
['ст Железнодорожный']
['Черёмушки-4 снт']
['ГЭК Карьерный']
['микрорайон Молодёжный']
['Строитель-3 с/о']
['Западное снп']
['Красава-2 днп']
['снт Медик-1']
['Солнечная поляна снт']
['снт Ангарский берег 19']
['ст Дубки-2']
['Орловка пгт']
['Облепиховое с/о']
['Зелёный дол с/о']
['Заря-2']
['Облепиховая с/о']
['Берёзовая роща с/о']
['Надежда ст']
['Лодемка СНТ']
['ст. Электрик']
['снт Безменково-1']
['Черняевское снт']
['СНТ Березка']
['Поле Чудес с/о']
"['Маручак снт, сектор Б']"
['Новое снт']
['с/т Наука']
['Октябрьский район']
"['снт ""Звезда-2""']"
['дк Дружба']
['Берёзки СНТ']
['снт им. Максима Горького']
"['снт ""Весна""']"
"['снт ""Дельфин""']"
['Элита с/о']
['днт Медицинский городок']
['снт Земля Сибирская']
['Учитель-Ольгино снт']
"['Верхний сад, Ольгино садоводство']"
"['Нижний сад, Ольгино']"
['На горке снт']
['Хохловатки снт']
['Островок снт']
['Снабженец ст']
['Вузовец снт']
['Капелла садоводство']
['Садоводство им. Я.М. Свердлова']
['Васильевское кп']
['снт Кабельщик-1']
['Садоводство Гипролестранс']
['с/о Транспортник']
['Проектировщик снт']
['снт Геодезист']
['снт Интурист']
['Здоровье с/о']
['Солнечный снт']
['Чайка СТ']
['Заимка СНТ']
['Буран снт']
['снт Подлипки']
['ПКСТ Картограф']
"['снт ""Звезда-2 ""']"
['днт Великие Озёра']
['Тополиная роща']
['Кооператор снт']
['Тайга СНТ']
['снт Афипс-17']
['днп Родные просторы']
['Озёрный снт']
['Озерный снт']
['ст Горный']
['снт Пилот']
['снт Исток']
['снт Перевал']
['снт Бабха-2']
['ст Урочище Потайное']
['Полянка снт']
['спк Юбилейный']
['Меридиан ст']
['пос. Войкова']
['пос. Войково']
['Лесник с/о']
['Весёлый с/о']
['Приволье с/о']
['снт им. В.Дубинина']
['Яблонька с/о']
['Водник-1 ст']
['снт Милосердие']
['Волживка СНТ']
['снт Приозёрный']
['Сосенка-81 с/о']
['снт Единство']
['Яблочко снт']
['снт Горный-Байкал']
['Радуга-2 с/о']
['Бирюсинка с/о']
['Ямал с/о']
['Приборостроитель с/о']
['Беловской ЦБР нст']
['снт Солзан']
['Трассовик с/о']
['Геолог-1 с/о']
['Ясный с/о']
['Лоза ст']
['ерик Перекатный']
['Монастырский двор днт']
['Электрон с/о']
['Индустрия днт']
['Березовый с/о']
['Энергия плюс снт']
['Огонек с/о']
['Моховское снт']
['Мебельщик сдт']
['Ветеран-1 со']
"['Маручак снт, сектор А']"
['Муравей  с/о']
['ул. 11 Красной Армии']
['Парус с/о']
['Березка снт']
['снт Полиграфист']
['Березкаа снт']
['Тополёк с/о']
['Ивушка снт']
['Нефтяник снт']
['Рябиновка сдт']
['Источник-2 с/о']
[' Источник-2 с/о']
['днт Угдан-Остров']
"['снт ""Солонцовский нанжуль""']"
['Строитель 1 снт']
['Ручеёк с/о']
"['зп ""Берёзки""']"
['снт Жемчужина']
['сонт Падунские пороги']
['Якорь с/о']
['Весна  с/о']
"['Садоводство ""Зеленый Клин""']"
['Изыскатель с/о']
['Россиянка с/о']
['Мичуринец-3 снп']
['снт Потенциал']
['Черёмушки-1 сдт']
['снт Цветочный']
['Дубрава с/о']
['Росоргтехстром снт']
['Проектировщик-2 снт']
['Огонёк с/о']
['Транспортник-9 с/о']
['Руднево посёлок']
['снт Зеленое']
['Акатовка снт']
['Утёс снт']
['Сардина ст']
['снт Зелёная']
['снт Родничковое']
['Приморье снт']
['Серебрянные родники снт']
['снт Озерное']
['снт Озёрная']
['снт Опора']
['Автоприбор-2 с/о']
['Машстрой снт']
['Луч ст']
['Буровик снт']
['Металлург снт']
['Металлуррг снт']
['Меаллург снт']
['Тура днт']
['снт Саяны-4']
['с/о Рябинушка']
['Рябинушка с/о']
['Медик снт']
['снт Излучина']
['Оптимист с/о']
['ЦЭМ']
['Буровик-Савкино с/о']
['Гидротехник-3 снт']
['Путь к садоводству снт']
['снт Голубые Дали']
['Дубки снт']
['снт Саяны']
['снт Пролетарий']
['Мотостроитель-2 снт']
['Пчёлка с/о']
['Виадук снт']
['снт Приморье']
['Локомотив с/о']
['Текстильщик с/о']
['снт Саяны-2']
['снт Виктория-материк']
"['Дзержинец снт, Степной массив']"
['Сосенка с/о']
['с/о Восход']
['Незабудка с/о']
['снт Лукоморье']
['Светлячок с/о']
['Зеленая роща с/о']
['ст Сибирь']
['Океан сдт']
['Сказка сдт']
['Серебрянка-2 снт']
['снт Саяны-5']
['снт Котельщик']
['Восток с/о']
['Восток  с/о']
['Зеленый уголок с/о']
['Ландыш с/о']
['Золотая Осень с/о']
['Олимпиец с/о']
['Силикатчик с/о']
['Решетникова) с/о']
['Черемушки с/о']
['Локотомив снт']
['Зелёная долина снт']
['Сосновая поляна с/о']
['Меридиан с/о']
['Радуга с/о']
['снт Берёзовское']
['Муравушка с/о']
['с/о Меридиан']
"['Дзержинец снт, Инструментальный массив']"
['Мичуринец-7 снт']
['Союзлифтмонтаж снт']
['Гидростроитель снт']
['Металлургстрой снт']
['Металлист с/о']
['Тюменец с/о']
['с/о Тюменец']
['Росинка с/о']
['Сосноый бор с/о']
['Звёздочка ст']
['Дубравушка с/о']
['Речник с/о']
['Сельхозтехника сдт']
"['Дзержинец снт, Алюминиевский массив']"
['снт Баргузин']
['Рассвет садовый массив']
['Сампо СНТ']
['Родничок с/о']
['Меркурий с/о']
['Фиалка с/о']
['Аккумуляторщик-2 с/о']
['Сампо снт']
['Мелиоратор СНТ']
"['40 лет Октября, 1 массив']"
['Рассказовское шоссе']
['Причал-1 снт']
['Янтарь с/о']
['Мечта с/о']
['с/о Лесовичок']
['Локомотив-2 с/о']
['Мелиоратор с/о']
['Мукомол снт']
['Электрификатор снт']
['Тополёк-2 ст']
['Юбилейный сдт']
['Монтажник-2 СНТ']
['Онежские Зори СНТ']
['Прионежье  СНТ']
['Прионежье СНТ']
['Сосна сдт']
['снт Наладчик']
['Полянка с/о']
['Вертолёт с/о']
['Ремонтник снт']
['Динамо снт']
['Северянка с/о']
['Северянка снт']
['Рябинка-2 с/о']
['Сибирский садовод с/о']
['Конструктор снт']
['ст Вагонник']
['Зауралец с/о']
['Наука-2 снт']
['ст Рябинка']
['ск Прометей']
"['Садоводство ""Овощевод""']"
['Портовик-2 сдт']
"['ДСТ ""Мельница""']"
['Эра ст']
['Коммунальник-1 сдт']
['Автомобилист сдт']
"['Спутник снт, Массив 2']"
['ст Магистраль']
['Эра-1 сдт']
"['Спутник снт, Массив 1']"
['Юг']
['снт Конденсатор']
['снт Еловые ключи']
['снт Виктория-остров']
['Слава-2 снт']
['Машиностроитель с/о']
['Лесник снт']
['Спутник с/о']
['Аккумуляторщик-1 с/о']
['Сирень с/о']
['Лесник-2 снт']
['Судостроитель с/о']
['с/о Автомобилист-Север']
['снт Ангара-3']
['Связист с/о']
['Западный квартал']
['Энергетик Севера с/о']
['Рекорд снт']
['Олимпиада-80 снт']
['Москвичка с/о']
['Подушкино с/о']
['Щит СТ']
['Горчичник снт']
['Контакт-1 СК']
['Нептун СТ']
['СТ Алмалы']
['Фонтан СТ']
['Самотлор с/о']
['Ямбург с/о']
['Сетка с/о']
['Иртыш-1 с/о']
['Транспортник снт']
['Черёмушки-2 с/о']
['Лесовод с/о']
['Боровик с/о']
['Маганский тракт']
['Бригантина снт']
['Боровое с/о']
['снт Трубопрокатчик-4']
['Майское с/о']
['Чусовской тракт']
['Энтузиаст снт']
['Заря-1 сдт']
['Дацит ст']
['Лесные зори с/о']
['Горошинка снт']
['Горошинка-3 с/о']
['Горошинка-3']
['Лоза с/о']
['днт Калиновка']
['Сластёна снт']
['Берендей снт']
['Искатель с/о']
['40 лет Октября снт']
['снт Досаафовец']
['Дзержинец с/о']
['Север']
['Хлебопродукт с/о']
['№1 Кургансельмаш']
['Родничок-2 с/о']
['ст Союз']
['снт Сантехник']
['Отечество днп']
['Северянин с/о']
['Земляне с/о']
['снт Тракторосад 4']
['Запад']
['Деревообработчик снт']
[' Соржа-Старая производственно-складская зона']
['Соржа-Старая производственно-складская зона']
['снт Черемушки']
['Энергетик-2 ст']
['снт №16']
"['ДНТ ""Аметист""']"
['днт Тельма-2']
['Горошинка с/о']
['Согласие с/о']
['с/т Политехник']
['с/т Машиностроитель']
['Сосновый бор СНТ']
['Звездочка с/о']
['Ольховое с/о']
['снт Орбита']
['Черёмушки с/о']
['снт Трубопрокатчик 4']
['Ивушка с/о']
['Исеть с/о']
['Плодовый с/о']
['Солнечный СТ']
['Садовоя-4 с/о']
['Борки с/о']
"['40 лет Октября снт, массив 2']"
['Птицевод с/о']
"['Металлургов снт, 1-й участок']"
['Московская']
['Червлёное снт']
"['СНТ ""Родничок-1""']"
['снт Еловка']
['снт Олхинка']
"['снт ""Солнечный""']"
['Ивушка днт']
['снт Вертолёт']
['снт Берёзка-3']
['снт Скала']
['Ленинградский монтажный техникум снт']
['№31 снт']
['ст Опороа']
['СНТ Транспортник']
['снт Гелиос']
['днт Багульник']
['Труд и отдых с/о']
